date,hour,count,average_sentiment,average_sentiment_computed,abs_difference,squared_difference
,,60,-0.65,-0.97,0.32,0.1
2015-02-16,23,4,-0.75,-1.0,0.25,0.06
2015-02-17,0,3,-1.0,-1.0,0.0,0.0
2015-02-17,1,4,-1.0,-1.0,0.0,0.0
2015-02-17,2,3,-0.67,-1.0,0.33,0.11
2015-02-17,3,1,0.0,-1.0,1.0,1.0
2015-02-17,4,4,-0.25,-1.0,0.75,0.56
2015-02-17,5,6,-0.33,-1.0,0.67,0.45
2015-02-17,6,10,-0.6,-1.0,0.4,0.16
2015-02-17,7,11,-0.55,-1.0,0.45,0.2
2015-02-17,8,97,-0.52,-0.86,0.34,0.12
2015-02-17,9,137,-0.31,-0.82,0.51,0.26
2015-02-17,10,108,-0.35,-0.85,0.5,0.25
2015-02-17,11,122,-0.44,-0.85,0.41,0.17
2015-02-17,12,104,-0.34,-0.87,0.53,0.28
2015-02-17,13,110,-0.29,-0.82,0.53,0.28
2015-02-17,14,122,-0.33,-0.87,0.54,0.29
2015-02-17,15,96,-0.47,-0.88,0.41,0.17
2015-02-17,16,81,-0.4,-0.85,0.45,0.2
2015-02-17,17,89,-0.48,-0.91,0.43,0.18
2015-02-17,18,85,-0.32,-0.86,0.54,0.29
2015-02-17,19,72,-0.4,-0.78,0.38,0.14
2015-02-17,20,59,-0.31,-0.83,0.52,0.27
2015-02-17,21,35,-0.54,-0.83,0.29,0.08
2015-02-17,22,19,-0.84,-0.89,0.05,0.0
2015-02-17,23,15,-0.67,-0.87,0.2,0.04
2015-02-18,0,15,-0.47,-1.0,0.53,0.28
2015-02-18,1,13,-0.62,-0.85,0.23,0.05
2015-02-18,2,9,-0.22,-0.78,0.56,0.31
2015-02-18,3,21,-0.48,-0.81,0.33,0.11
2015-02-18,4,30,-0.3,-0.93,0.63,0.4
2015-02-18,5,46,-0.24,-0.87,0.63,0.4
2015-02-18,6,75,-0.43,-0.76,0.33,0.11
2015-02-18,7,68,-0.35,-0.82,0.47,0.22
2015-02-18,8,101,-0.32,-0.9,0.58,0.34
2015-02-18,9,92,-0.24,-0.83,0.59,0.35
2015-02-18,10,71,-0.32,-0.72,0.4,0.16
2015-02-18,11,74,-0.5,-0.86,0.36,0.13
2015-02-18,12,75,-0.4,-0.81,0.41,0.17
2015-02-18,13,85,-0.35,-0.86,0.51,0.26
2015-02-18,14,89,-0.34,-0.84,0.5,0.25
2015-02-18,15,78,-0.37,-0.82,0.45,0.2
2015-02-18,16,80,-0.35,-0.85,0.5,0.25
2015-02-18,17,72,-0.24,-0.83,0.59,0.35
2015-02-18,18,67,-0.15,-0.73,0.58,0.34
2015-02-18,19,60,-0.52,-0.93,0.41,0.17
2015-02-18,20,47,-0.34,-0.83,0.49,0.24
2015-02-18,21,34,-0.29,-0.82,0.53,0.28
2015-02-18,22,14,-0.21,-1.0,0.79,0.62
2015-02-18,23,6,-0.17,-1.0,0.83,0.69
2015-02-19,0,5,-0.6,-1.0,0.4,0.16
2015-02-19,1,4,0.0,-1.0,1.0,1.0
2015-02-19,2,22,-0.18,-1.0,0.82,0.67
2015-02-19,3,19,-0.47,-0.79,0.32,0.1
2015-02-19,4,44,-0.45,-0.77,0.32,0.1
2015-02-19,5,27,-0.3,-0.85,0.55,0.3
2015-02-19,6,49,-0.29,-0.71,0.42,0.18
2015-02-19,7,116,-0.33,-0.79,0.46,0.21
2015-02-19,8,87,-0.11,-0.66,0.55,0.3
2015-02-19,9,77,-0.29,-0.84,0.55,0.3
2015-02-19,10,81,-0.36,-0.93,0.57,0.32
2015-02-19,11,92,-0.45,-0.91,0.46,0.21
2015-02-19,12,62,-0.37,-0.84,0.47,0.22
2015-02-19,13,61,-0.26,-0.74,0.48,0.23
2015-02-19,14,79,-0.11,-0.82,0.71,0.5
2015-02-19,15,68,-0.18,-0.85,0.67,0.45
2015-02-19,16,85,-0.33,-0.91,0.58,0.34
2015-02-19,17,60,-0.57,-0.97,0.4,0.16
2015-02-19,18,62,-0.32,-0.87,0.55,0.3
2015-02-19,19,78,-0.54,-0.87,0.33,0.11
2015-02-19,20,68,-0.41,-0.88,0.47,0.22
2015-02-19,21,56,-0.25,-0.86,0.61,0.37
2015-02-19,22,25,-0.28,-0.92,0.64,0.41
2015-02-19,23,25,-0.68,-0.76,0.08,0.01
2015-02-20,0,7,-0.43,-1.0,0.57,0.32
2015-02-20,1,10,-0.2,-1.0,0.8,0.64
2015-02-20,2,16,-0.69,-0.88,0.19,0.04
2015-02-20,3,12,0.08,-0.83,0.91,0.83
2015-02-20,4,27,-0.33,-0.93,0.6,0.36
2015-02-20,5,56,-0.55,-0.89,0.34,0.12
2015-02-20,6,89,-0.43,-0.75,0.32,0.1
2015-02-20,7,96,-0.33,-0.81,0.48,0.23
2015-02-20,8,110,-0.4,-0.8,0.4,0.16
2015-02-20,9,102,-0.33,-0.88,0.55,0.3
2015-02-20,10,90,-0.16,-0.71,0.55,0.3
2015-02-20,11,96,-0.4,-0.9,0.5,0.25
2015-02-20,12,65,-0.09,-0.72,0.63,0.4
2015-02-20,13,94,-0.32,-0.81,0.49,0.24
2015-02-20,14,91,-0.49,-0.89,0.4,0.16
2015-02-20,15,79,-0.48,-0.9,0.42,0.18
2015-02-20,16,80,-0.26,-0.8,0.54,0.29
2015-02-20,17,70,-0.4,-0.89,0.49,0.24
2015-02-20,18,86,-0.38,-0.77,0.39,0.15
2015-02-20,19,59,-0.39,-0.8,0.41,0.17
2015-02-20,20,58,-0.43,-0.83,0.4,0.16
2015-02-20,21,42,-0.69,-0.86,0.17,0.03
2015-02-20,22,33,-0.3,-0.82,0.52,0.27
2015-02-20,23,16,-0.31,-0.75,0.44,0.19
2015-02-21,0,7,-0.86,-1.0,0.14,0.02
2015-02-21,1,7,-0.43,-1.0,0.57,0.32
2015-02-21,2,29,-0.41,-0.93,0.52,0.27
2015-02-21,3,20,-0.25,-0.7,0.45,0.2
2015-02-21,4,29,-0.41,-0.79,0.38,0.14
2015-02-21,5,38,-0.58,-0.89,0.31,0.1
2015-02-21,6,41,-0.56,-1.0,0.44,0.19
2015-02-21,7,64,-0.58,-0.94,0.36,0.13
2015-02-21,8,70,-0.49,-0.89,0.4,0.16
2015-02-21,9,71,-0.55,-0.77,0.22,0.05
2015-02-21,10,78,-0.54,-0.85,0.31,0.1
2015-02-21,11,84,-0.35,-0.86,0.51,0.26
2015-02-21,12,114,-0.51,-0.91,0.4,0.16
2015-02-21,13,109,-0.5,-0.82,0.32,0.1
2015-02-21,14,102,-0.49,-0.88,0.39,0.15
2015-02-21,15,91,-0.56,-0.91,0.35,0.12
2015-02-21,16,64,-0.33,-0.84,0.51,0.26
2015-02-21,17,91,-0.38,-0.87,0.49,0.24
2015-02-21,18,96,-0.6,-1.0,0.4,0.16
2015-02-21,19,106,-0.69,-0.94,0.25,0.06
2015-02-21,20,80,-0.51,-0.9,0.39,0.15
2015-02-21,21,81,-0.77,-0.93,0.16,0.03
2015-02-21,22,46,-0.74,-0.96,0.22,0.05
2015-02-21,23,20,-0.6,-0.9,0.3,0.09
2015-02-22,0,27,-0.93,-1.0,0.07,0.0
2015-02-22,1,17,-0.71,-1.0,0.29,0.08
2015-02-22,2,22,-0.68,-0.73,0.05,0.0
2015-02-22,3,31,-0.68,-0.81,0.13,0.02
2015-02-22,4,45,-0.53,-0.78,0.25,0.06
2015-02-22,5,90,-0.62,-0.89,0.27,0.07
2015-02-22,6,91,-0.65,-0.87,0.22,0.05
2015-02-22,7,116,-0.52,-0.97,0.45,0.2
2015-02-22,8,129,-0.59,-0.86,0.27,0.07
2015-02-22,9,96,-0.58,-0.85,0.27,0.07
2015-02-22,10,108,-0.7,-0.93,0.23,0.05
2015-02-22,11,99,-0.49,-0.94,0.45,0.2
2015-02-22,12,195,-0.62,-0.94,0.32,0.1
2015-02-22,13,228,-0.67,-0.95,0.28,0.08
2015-02-22,14,269,-0.71,-0.97,0.26,0.07
2015-02-22,15,223,-0.57,-0.89,0.32,0.1
2015-02-22,16,208,-0.73,-0.93,0.2,0.04
2015-02-22,17,276,-0.45,-0.89,0.44,0.19
2015-02-22,18,221,-0.64,-0.94,0.3,0.09
2015-02-22,19,172,-0.61,-0.93,0.32,0.1
2015-02-22,20,151,-0.6,-0.89,0.29,0.08
2015-02-22,21,91,-0.59,-0.91,0.32,0.1
2015-02-22,22,83,-0.81,-1.0,0.19,0.04
2015-02-22,23,64,-0.78,-0.88,0.1,0.01
2015-02-23,0,38,-0.5,-0.79,0.29,0.08
2015-02-23,1,32,-0.72,-1.0,0.28,0.08
2015-02-23,2,39,-0.62,-1.0,0.38,0.14
2015-02-23,3,56,-0.61,-0.89,0.28,0.08
2015-02-23,4,95,-0.6,-0.79,0.19,0.04
2015-02-23,5,116,-0.71,-0.91,0.2,0.04
2015-02-23,6,143,-0.45,-0.82,0.37,0.14
2015-02-23,7,162,-0.57,-0.88,0.31,0.1
2015-02-23,8,173,-0.54,-0.85,0.31,0.1
2015-02-23,9,187,-0.61,-0.88,0.27,0.07
2015-02-23,10,215,-0.35,-0.72,0.37,0.14
2015-02-23,11,237,-0.44,-0.69,0.25,0.06
2015-02-23,12,200,-0.34,-0.66,0.32,0.1
2015-02-23,13,199,-0.44,-0.78,0.34,0.12
2015-02-23,14,165,-0.44,-0.84,0.4,0.16
2015-02-23,15,145,-0.46,-0.89,0.43,0.18
2015-02-23,16,121,-0.48,-0.77,0.29,0.08
2015-02-23,17,89,-0.31,-0.89,0.58,0.34
2015-02-23,18,125,-0.39,-0.79,0.4,0.16
2015-02-23,19,120,-0.7,-0.92,0.22,0.05
2015-02-23,20,134,-0.5,-0.9,0.4,0.16
2015-02-23,21,85,-0.45,-0.81,0.36,0.13
2015-02-23,22,66,-0.59,-0.79,0.2,0.04
2015-02-23,23,41,-0.54,-1.0,0.46,0.21
2015-02-24,0,29,-0.59,-0.93,0.34,0.12
2015-02-24,1,23,-0.83,-0.74,0.09,0.01
2015-02-24,2,34,-0.59,-0.94,0.35,0.12
2015-02-24,3,61,-0.57,-0.97,0.4,0.16
2015-02-24,4,90,-0.5,-0.84,0.34,0.12
2015-02-24,5,91,-0.31,-0.8,0.49,0.24
2015-02-24,6,111,-0.44,-0.93,0.49,0.24
2015-02-24,7,132,-0.36,-0.77,0.41,0.17
2015-02-24,8,145,-0.4,-0.89,0.49,0.24
2015-02-24,9,231,-0.46,-0.88,0.42,0.18
2015-02-24,10,197,-0.3,-0.84,0.54,0.29
2015-02-24,11,174,-0.39,-0.79,0.4,0.16
2015-02-24,12,5,0.6,0.6,0.0,0.0
